,period,period_end,pv_estimate
0,PT30M,2020-09-24T18:30:00.0000000Z,0.0
1,PT30M,2020-09-24T19:00:00.0000000Z,0.0
2,PT30M,2020-09-24T19:30:00.0000000Z,0.0
3,PT30M,2020-09-24T20:00:00.0000000Z,0.0
4,PT30M,2020-09-24T20:30:00.0000000Z,0.0
5,PT30M,2020-09-24T21:00:00.0000000Z,0.0
6,PT30M,2020-09-24T21:30:00.0000000Z,0.0
7,PT30M,2020-09-24T22:00:00.0000000Z,0.0
8,PT30M,2020-09-24T22:30:00.0000000Z,0.0
9,PT30M,2020-09-24T23:00:00.0000000Z,0.0
10,PT30M,2020-09-24T23:30:00.0000000Z,0.0
11,PT30M,2020-09-25T00:00:00.0000000Z,0.071
12,PT30M,2020-09-25T00:30:00.0000000Z,0.443
13,PT30M,2020-09-25T01:00:00.0000000Z,0.945
14,PT30M,2020-09-25T01:30:00.0000000Z,1.432
15,PT30M,2020-09-25T02:00:00.0000000Z,1.892
16,PT30M,2020-09-25T02:30:00.0000000Z,2.311
17,PT30M,2020-09-25T03:00:00.0000000Z,2.722
18,PT30M,2020-09-25T03:30:00.0000000Z,3.079
19,PT30M,2020-09-25T04:00:00.0000000Z,3.431
20,PT30M,2020-09-25T04:30:00.0000000Z,3.705
21,PT30M,2020-09-25T05:00:00.0000000Z,3.91
22,PT30M,2020-09-25T05:30:00.0000000Z,3.984
23,PT30M,2020-09-25T06:00:00.0000000Z,3.894
24,PT30M,2020-09-25T06:30:00.0000000Z,3.668
25,PT30M,2020-09-25T07:00:00.0000000Z,3.294
26,PT30M,2020-09-25T07:30:00.0000000Z,2.755
27,PT30M,2020-09-25T08:00:00.0000000Z,2.16
28,PT30M,2020-09-25T08:30:00.0000000Z,1.642
29,PT30M,2020-09-25T09:00:00.0000000Z,1.303
30,PT30M,2020-09-25T09:30:00.0000000Z,1.128
31,PT30M,2020-09-25T10:00:00.0000000Z,0.968
32,PT30M,2020-09-25T10:30:00.0000000Z,0.709
33,PT30M,2020-09-25T11:00:00.0000000Z,0.329
34,PT30M,2020-09-25T11:30:00.0000000Z,0.035
35,PT30M,2020-09-25T12:00:00.0000000Z,0.0
36,PT30M,2020-09-25T12:30:00.0000000Z,0.0
37,PT30M,2020-09-25T13:00:00.0000000Z,0.0
38,PT30M,2020-09-25T13:30:00.0000000Z,0.0
39,PT30M,2020-09-25T14:00:00.0000000Z,0.0
40,PT30M,2020-09-25T14:30:00.0000000Z,0.0
41,PT30M,2020-09-25T15:00:00.0000000Z,0.0
42,PT30M,2020-09-25T15:30:00.0000000Z,0.0
43,PT30M,2020-09-25T16:00:00.0000000Z,0.0
44,PT30M,2020-09-25T16:30:00.0000000Z,0.0
45,PT30M,2020-09-25T17:00:00.0000000Z,0.0
46,PT30M,2020-09-25T17:30:00.0000000Z,0.0
47,PT30M,2020-09-25T18:00:00.0000000Z,0.0
48,PT30M,2020-09-25T18:30:00.0000000Z,0.0
49,PT30M,2020-09-25T19:00:00.0000000Z,0.0
50,PT30M,2020-09-25T19:30:00.0000000Z,0.0
51,PT30M,2020-09-25T20:00:00.0000000Z,0.0
52,PT30M,2020-09-25T20:30:00.0000000Z,0.0
53,PT30M,2020-09-25T21:00:00.0000000Z,0.0
54,PT30M,2020-09-25T21:30:00.0000000Z,0.0
55,PT30M,2020-09-25T22:00:00.0000000Z,0.0
56,PT30M,2020-09-25T22:30:00.0000000Z,0.0
57,PT30M,2020-09-25T23:00:00.0000000Z,0.0
58,PT30M,2020-09-25T23:30:00.0000000Z,0.0
59,PT30M,2020-09-26T00:00:00.0000000Z,0.076
60,PT30M,2020-09-26T00:30:00.0000000Z,0.467
61,PT30M,2020-09-26T01:00:00.0000000Z,0.959
62,PT30M,2020-09-26T01:30:00.0000000Z,1.493
63,PT30M,2020-09-26T02:00:00.0000000Z,2.057
64,PT30M,2020-09-26T02:30:00.0000000Z,2.623
65,PT30M,2020-09-26T03:00:00.0000000Z,3.124
66,PT30M,2020-09-26T03:30:00.0000000Z,3.465
67,PT30M,2020-09-26T04:00:00.0000000Z,3.733
68,PT30M,2020-09-26T04:30:00.0000000Z,3.928
69,PT30M,2020-09-26T05:00:00.0000000Z,4.05
70,PT30M,2020-09-26T05:30:00.0000000Z,4.074
71,PT30M,2020-09-26T06:00:00.0000000Z,4.018
72,PT30M,2020-09-26T06:30:00.0000000Z,3.907
73,PT30M,2020-09-26T07:00:00.0000000Z,3.719
74,PT30M,2020-09-26T07:30:00.0000000Z,3.439
75,PT30M,2020-09-26T08:00:00.0000000Z,3.093
76,PT30M,2020-09-26T08:30:00.0000000Z,2.73
77,PT30M,2020-09-26T09:00:00.0000000Z,2.309
78,PT30M,2020-09-26T09:30:00.0000000Z,1.859
79,PT30M,2020-09-26T10:00:00.0000000Z,1.383
80,PT30M,2020-09-26T10:30:00.0000000Z,0.894
81,PT30M,2020-09-26T11:00:00.0000000Z,0.375
82,PT30M,2020-09-26T11:30:00.0000000Z,0.038
83,PT30M,2020-09-26T12:00:00.0000000Z,0.0
84,PT30M,2020-09-26T12:30:00.0000000Z,0.0
85,PT30M,2020-09-26T13:00:00.0000000Z,0.0
86,PT30M,2020-09-26T13:30:00.0000000Z,0.0
87,PT30M,2020-09-26T14:00:00.0000000Z,0.0
88,PT30M,2020-09-26T14:30:00.0000000Z,0.0
89,PT30M,2020-09-26T15:00:00.0000000Z,0.0
90,PT30M,2020-09-26T15:30:00.0000000Z,0.0
91,PT30M,2020-09-26T16:00:00.0000000Z,0.0
92,PT30M,2020-09-26T16:30:00.0000000Z,0.0
93,PT30M,2020-09-26T17:00:00.0000000Z,0.0
94,PT30M,2020-09-26T17:30:00.0000000Z,0.0
95,PT30M,2020-09-26T18:00:00.0000000Z,0.0
96,PT30M,2020-09-26T18:30:00.0000000Z,0.0
97,PT30M,2020-09-26T19:00:00.0000000Z,0.0
98,PT30M,2020-09-26T19:30:00.0000000Z,0.0
99,PT30M,2020-09-26T20:00:00.0000000Z,0.0
100,PT30M,2020-09-26T20:30:00.0000000Z,0.0
101,PT30M,2020-09-26T21:00:00.0000000Z,0.0
102,PT30M,2020-09-26T21:30:00.0000000Z,0.0
103,PT30M,2020-09-26T22:00:00.0000000Z,0.0
104,PT30M,2020-09-26T22:30:00.0000000Z,0.0
105,PT30M,2020-09-26T23:00:00.0000000Z,0.0
106,PT30M,2020-09-26T23:30:00.0000000Z,0.0
107,PT30M,2020-09-27T00:00:00.0000000Z,0.072
108,PT30M,2020-09-27T00:30:00.0000000Z,0.49
109,PT30M,2020-09-27T01:00:00.0000000Z,1.059
110,PT30M,2020-09-27T01:30:00.0000000Z,1.603
111,PT30M,2020-09-27T02:00:00.0000000Z,2.12
112,PT30M,2020-09-27T02:30:00.0000000Z,2.603
113,PT30M,2020-09-27T03:00:00.0000000Z,3.023
114,PT30M,2020-09-27T03:30:00.0000000Z,3.384
115,PT30M,2020-09-27T04:00:00.0000000Z,3.661
116,PT30M,2020-09-27T04:30:00.0000000Z,3.854
117,PT30M,2020-09-27T05:00:00.0000000Z,3.965
118,PT30M,2020-09-27T05:30:00.0000000Z,4.03
119,PT30M,2020-09-27T06:00:00.0000000Z,4.059
120,PT30M,2020-09-27T06:30:00.0000000Z,3.983
121,PT30M,2020-09-27T07:00:00.0000000Z,3.843
122,PT30M,2020-09-27T07:30:00.0000000Z,3.636
123,PT30M,2020-09-27T08:00:00.0000000Z,3.362
124,PT30M,2020-09-27T08:30:00.0000000Z,3.003
125,PT30M,2020-09-27T09:00:00.0000000Z,2.58
126,PT30M,2020-09-27T09:30:00.0000000Z,2.105
127,PT30M,2020-09-27T10:00:00.0000000Z,1.566
128,PT30M,2020-09-27T10:30:00.0000000Z,0.994
