,period,period_end,pv_estimate
106,PT30M,2020-09-26T23:30:00.0000000Z,0.0
107,PT30M,2020-09-27T00:00:00.0000000Z,0.016
108,PT30M,2020-09-27T00:30:00.0000000Z,0.226
109,PT30M,2020-09-27T01:00:00.0000000Z,0.657
110,PT30M,2020-09-27T01:30:00.0000000Z,1.11
111,PT30M,2020-09-27T02:00:00.0000000Z,1.581
112,PT30M,2020-09-27T02:30:00.0000000Z,2.007
113,PT30M,2020-09-27T03:00:00.0000000Z,2.396
114,PT30M,2020-09-27T03:30:00.0000000Z,2.769
115,PT30M,2020-09-27T04:00:00.0000000Z,3.082
116,PT30M,2020-09-27T04:30:00.0000000Z,3.326
117,PT30M,2020-09-27T05:00:00.0000000Z,3.442
118,PT30M,2020-09-27T05:30:00.0000000Z,3.555
119,PT30M,2020-09-27T06:00:00.0000000Z,3.546
120,PT30M,2020-09-27T06:30:00.0000000Z,3.499
121,PT30M,2020-09-27T07:00:00.0000000Z,3.378
122,PT30M,2020-09-27T07:30:00.0000000Z,3.168
123,PT30M,2020-09-27T08:00:00.0000000Z,2.923
124,PT30M,2020-09-27T08:30:00.0000000Z,2.603
125,PT30M,2020-09-27T09:00:00.0000000Z,2.236
126,PT30M,2020-09-27T09:30:00.0000000Z,1.82
127,PT30M,2020-09-27T10:00:00.0000000Z,1.355
128,PT30M,2020-09-27T10:30:00.0000000Z,0.879
129,PT30M,2020-09-27T11:00:00.0000000Z,0.405
130,PT30M,2020-09-27T11:30:00.0000000Z,0.067
131,PT30M,2020-09-27T12:00:00.0000000Z,0.0
132,PT30M,2020-09-27T12:30:00.0000000Z,0.0
133,PT30M,2020-09-27T13:00:00.0000000Z,0.0
134,PT30M,2020-09-27T13:30:00.0000000Z,0.0
135,PT30M,2020-09-27T14:00:00.0000000Z,0.0
136,PT30M,2020-09-27T14:30:00.0000000Z,0.0
137,PT30M,2020-09-27T15:00:00.0000000Z,0.0
138,PT30M,2020-09-27T15:30:00.0000000Z,0.0
139,PT30M,2020-09-27T16:00:00.0000000Z,0.0
140,PT30M,2020-09-27T16:30:00.0000000Z,0.0
141,PT30M,2020-09-27T17:00:00.0000000Z,0.0
142,PT30M,2020-09-27T17:30:00.0000000Z,0.0
143,PT30M,2020-09-27T18:00:00.0000000Z,0.0
144,PT30M,2020-09-27T18:30:00.0000000Z,0.0
145,PT30M,2020-09-27T19:00:00.0000000Z,0.0
146,PT30M,2020-09-27T19:30:00.0000000Z,0.0
147,PT30M,2020-09-27T20:00:00.0000000Z,0.0
148,PT30M,2020-09-27T20:30:00.0000000Z,0.0
149,PT30M,2020-09-27T21:00:00.0000000Z,0.0
150,PT30M,2020-09-27T21:30:00.0000000Z,0.0
151,PT30M,2020-09-27T22:00:00.0000000Z,0.0
152,PT30M,2020-09-27T22:30:00.0000000Z,0.0
153,PT30M,2020-09-27T23:00:00.0000000Z,0.0
154,PT30M,2020-09-27T23:30:00.0000000Z,0.0
155,PT30M,2020-09-28T00:00:00.0000000Z,0.011
156,PT30M,2020-09-28T00:30:00.0000000Z,0.169
157,PT30M,2020-09-28T01:00:00.0000000Z,0.558
158,PT30M,2020-09-28T01:30:00.0000000Z,0.999
159,PT30M,2020-09-28T02:00:00.0000000Z,1.46
160,PT30M,2020-09-28T02:30:00.0000000Z,1.908
161,PT30M,2020-09-28T03:00:00.0000000Z,2.335
162,PT30M,2020-09-28T03:30:00.0000000Z,2.712
163,PT30M,2020-09-28T04:00:00.0000000Z,3.069
164,PT30M,2020-09-28T04:30:00.0000000Z,3.352
165,PT30M,2020-09-28T05:00:00.0000000Z,3.486
166,PT30M,2020-09-28T05:30:00.0000000Z,3.526
167,PT30M,2020-09-28T06:00:00.0000000Z,3.516
168,PT30M,2020-09-28T06:30:00.0000000Z,3.451
169,PT30M,2020-09-28T07:00:00.0000000Z,3.308
170,PT30M,2020-09-28T07:30:00.0000000Z,3.134
171,PT30M,2020-09-28T08:00:00.0000000Z,2.893
172,PT30M,2020-09-28T08:30:00.0000000Z,2.604
173,PT30M,2020-09-28T09:00:00.0000000Z,2.277
174,PT30M,2020-09-28T09:30:00.0000000Z,1.885
175,PT30M,2020-09-28T10:00:00.0000000Z,1.444
176,PT30M,2020-09-28T10:30:00.0000000Z,0.988
177,PT30M,2020-09-28T11:00:00.0000000Z,0.487
178,PT30M,2020-09-28T11:30:00.0000000Z,0.078
179,PT30M,2020-09-28T12:00:00.0000000Z,0.0
180,PT30M,2020-09-28T12:30:00.0000000Z,0.0
181,PT30M,2020-09-28T13:00:00.0000000Z,0.0
182,PT30M,2020-09-28T13:30:00.0000000Z,0.0
183,PT30M,2020-09-28T14:00:00.0000000Z,0.0
184,PT30M,2020-09-28T14:30:00.0000000Z,0.0
185,PT30M,2020-09-28T15:00:00.0000000Z,0.0
186,PT30M,2020-09-28T15:30:00.0000000Z,0.0
187,PT30M,2020-09-28T16:00:00.0000000Z,0.0
188,PT30M,2020-09-28T16:30:00.0000000Z,0.0
189,PT30M,2020-09-28T17:00:00.0000000Z,0.0
190,PT30M,2020-09-28T17:30:00.0000000Z,0.0
